Key,File,Line,Severity,Type,Rule,Message,Status
AZ_Qr4qos5KeDF11f9B4,frontend/src/components/dashboards/LogisticsDashboard.tsx,198,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4qos5KeDF11f9B5,frontend/src/components/dashboards/LogisticsDashboard.tsx,242,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4qos5KeDF11f9B6,frontend/src/components/dashboards/LogisticsDashboard.tsx,305,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4qos5KeDF11f9B7,frontend/src/components/dashboards/LogisticsDashboard.tsx,323,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4qos5KeDF11f9B8,frontend/src/components/dashboards/LogisticsDashboard.tsx,325,MAJOR,CODE_SMELL,typescript:S6772,Ambiguous spacing before next element span,OPEN
AZ_Qr4qos5KeDF11f9B9,frontend/src/components/dashboards/LogisticsDashboard.tsx,354,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4qos5KeDF11f9B-,frontend/src/components/dashboards/LogisticsDashboard.tsx,360,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4qos5KeDF11f9B_,frontend/src/components/dashboards/LogisticsDashboard.tsx,370,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4qos5KeDF11f9CA,frontend/src/components/dashboards/LogisticsDashboard.tsx,376,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4qos5KeDF11f9CB,frontend/src/components/dashboards/LogisticsDashboard.tsx,388,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4qos5KeDF11f9CC,frontend/src/components/dashboards/LogisticsDashboard.tsx,394,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4qos5KeDF11f9CD,frontend/src/components/dashboards/LogisticsDashboard.tsx,403,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4wGs5KeDF11f9E9,frontend/src/app/(driver)/layout.tsx,61,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4pss5KeDF11f9BV,frontend/src/components/shared/MobileSidebarWrapper.tsx,10,MINOR,CODE_SMELL,typescript:S6759,Mark the props of the component as read-only.,OPEN
AZ_Qr4pss5KeDF11f9BW,frontend/src/components/shared/MobileSidebarWrapper.tsx,29,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
